NIS, CHI_2 
2.12355, 5.991 
4.55575, 7.815
2.67251, 5.991 
5.90638, 7.815
1.19412, 5.991 
4.13469, 7.815
3.25276, 5.991 
1.98387, 7.815
3.44111, 5.991 
1.82308, 7.815
4.18676, 5.991 
1.77264, 7.815
2.28751, 5.991 
1.19653, 7.815
2.70665, 5.991 
1.70214, 7.815
3.02317, 5.991 
0.241039, 7.815
1.09917, 5.991 
5.05146, 7.815
1.03483, 5.991 
6.75458, 7.815
0.835083, 5.991 
5.19626, 7.815
0.828501, 5.991 
5.98609, 7.815
0.415291, 5.991 
5.20366, 7.815
0.973023, 5.991 
5.07542, 7.815
0.419705, 5.991 
2.54025, 7.815
1.39725, 5.991 
1.72056, 7.815
0.325943, 5.991 
4.31702, 7.815
5.21733, 5.991 
0.816579, 7.815
8.33693, 5.991 
1.76281, 7.815
5.15577, 5.991 
2.19029, 7.815
0.0506564, 5.991 
11.7567, 7.815
0.528695, 5.991 
10.1677, 7.815
0.0823003, 5.991 
8.32929, 7.815
2.09974, 5.991 
7.44707, 7.815
4.71574, 5.991 
8.51619, 7.815
1.75306, 5.991 
4.46219, 7.815
0.24538, 5.991 
2.26272, 7.815
0.963394, 5.991 
2.7228, 7.815
0.229848, 5.991 
0.84819, 7.815
2.79739, 5.991 
3.01553, 7.815
0.819032, 5.991 
2.66044, 7.815
3.18696, 5.991 
2.81402, 7.815
1.06703, 5.991 
8.0759, 7.815
1.01246, 5.991 
6.03916, 7.815
0.977939, 5.991 
9.80676, 7.815
1.13756, 5.991 
0.209507, 7.815
0.925153, 5.991 
0.708855, 7.815
0.914872, 5.991 
0.0881295, 7.815
2.70955, 5.991 
13.0678, 7.815
0.911994, 5.991 
16.1796, 7.815
2.65806, 5.991 
10.1569, 7.815
1.29881, 5.991 
4.05475, 7.815
0.412483, 5.991 
6.15569, 7.815
0.836268, 5.991 
3.9276, 7.815
0.0437987, 5.991 
5.60561, 7.815
0.207709, 5.991 
5.58786, 7.815
0.0856847, 5.991 
5.11397, 7.815
1.74974, 5.991 
0.129032, 7.815
3.74096, 5.991 
0.4792, 7.815
2.2917, 5.991 
0.198074, 7.815
1.57484, 5.991 
5.9786, 7.815
3.2185, 5.991 
5.14064, 7.815
1.8279, 5.991 
5.9026, 7.815
5.76874, 5.991 
5.61835, 7.815
5.91393, 5.991 
4.51871, 7.815
5.41466, 5.991 
5.45069, 7.815
3.84354, 5.991 
3.36271, 7.815
10.4586, 5.991 
3.95905, 7.815
3.30085, 5.991 
2.46107, 7.815
1.18992, 5.991 
8.9703, 7.815
1.17208, 5.991 
8.37065, 7.815
1.87041, 5.991 
9.26274, 7.815
3.72933, 5.991 
3.79554, 7.815
0.463854, 5.991 
4.30253, 7.815
4.01338, 5.991 
3.75569, 7.815
1.04586, 5.991 
2.69626, 7.815
3.71863, 5.991 
2.808, 7.815
0.90859, 5.991 
2.93178, 7.815
1.20558, 5.991 
1.81312, 7.815
0.509076, 5.991 
1.81171, 7.815
1.02894, 5.991 
1.73271, 7.815
2.82405, 5.991 
7.73794, 7.815
0.565141, 5.991 
8.85476, 7.815
2.43757, 5.991 
7.92838, 7.815
4.89814, 5.991 
5.51131, 7.815
3.81732, 5.991 
4.05936, 7.815
3.71146, 5.991 
5.27233, 7.815
0.185424, 5.991 
5.03657, 7.815
2.47884, 5.991 
4.72667, 7.815
0.34315, 5.991 
5.47662, 7.815
0.183335, 5.991 
1.42353, 7.815
1.01176, 5.991 
1.6713, 7.815
0.441238, 5.991 
1.5649, 7.815
1.22429, 5.991 
0.916779, 7.815
0.0687079, 5.991 
1.0589, 7.815
0.947759, 5.991 
1.03327, 7.815
2.73575, 5.991 
0.925637, 7.815
7.23805, 5.991 
1.21238, 7.815
3.04659, 5.991 
0.978918, 7.815
2.16085, 5.991 
2.62505, 7.815
0.891062, 5.991 
1.95349, 7.815
1.82876, 5.991 
2.59716, 7.815
2.54811, 5.991 
3.02829, 7.815
0.254704, 5.991 
6.56179, 7.815
2.20344, 5.991 
3.1908, 7.815
2.68122, 5.991 
3.73393, 7.815
1.40064, 5.991 
4.06438, 7.815
2.88025, 5.991 
3.70003, 7.815
5.28898, 5.991 
1.21808, 7.815
7.88958, 5.991 
1.07582, 7.815
4.57216, 5.991 
1.0158, 7.815
1.25195, 5.991 
0.236551, 7.815
1.80818, 5.991 
0.492391, 7.815
0.649121, 5.991 
0.112662, 7.815
5.1972, 5.991 
0.928515, 7.815
1.84666, 5.991 
1.87076, 7.815
5.83024, 5.991 
0.755836, 7.815
3.26227, 5.991 
3.85071, 7.815
7.69644, 5.991 
4.87032, 7.815
2.44115, 5.991 
3.19772, 7.815
0.136069, 5.991 
8.38463, 7.815
0.396335, 5.991 
9.96803, 7.815
0.935276, 5.991 
7.61371, 7.815
0.873839, 5.991 
3.49189, 7.815
0.659151, 5.991 
3.31746, 7.815
2.2901, 5.991 
3.51788, 7.815
0.908918, 5.991 
4.32924, 7.815
1.52205, 5.991 
4.06265, 7.815
1.78285, 5.991 
4.11907, 7.815
0.944825, 5.991 
5.91411, 7.815
0.846339, 5.991 
6.07726, 7.815
1.77594, 5.991 
5.55044, 7.815
1.13709, 5.991 
4.55427, 7.815
1.52238, 5.991 
5.43228, 7.815
1.72087, 5.991 
4.6907, 7.815
0.753083, 5.991 
0.78128, 7.815
0.105961, 5.991 
0.910931, 7.815
0.758983, 5.991 
0.725424, 7.815
1.7628, 5.991 
6.24348, 7.815
0.936183, 5.991 
5.07808, 7.815
1.98466, 5.991 
6.14816, 7.815
2.61316, 5.991 
1.738, 7.815
0.695668, 5.991 
2.48665, 7.815
2.62378, 5.991 
1.72588, 7.815
0.270966, 5.991 
2.09428, 7.815
1.81009, 5.991 
2.46674, 7.815
0.26562, 5.991 
2.06745, 7.815
2.39902, 5.991 
0.886162, 7.815
1.2879, 5.991 
1.40362, 7.815
2.24652, 5.991 
0.921374, 7.815
0.477587, 5.991 
2.14355, 7.815
0.11367, 5.991 
3.64077, 7.815
0.398058, 5.991 
2.12866, 7.815
0.602902, 5.991 
5.71392, 7.815
0.785688, 5.991 
6.10248, 7.815
0.743122, 5.991 
5.72303, 7.815
0.545691, 5.991 
3.445, 7.815
2.52552, 5.991 
2.26668, 7.815
0.590211, 5.991 
3.39623, 7.815
1.93385, 5.991 
3.80649, 7.815
1.35111, 5.991 
2.42445, 7.815
1.72941, 5.991 
3.74221, 7.815
1.01574, 5.991 
4.06507, 7.815
2.11937, 5.991 
4.66086, 7.815
0.642725, 5.991 
4.02905, 7.815
0.909459, 5.991 
4.60384, 7.815
1.96925, 5.991 
3.47778, 7.815
1.27803, 5.991 
4.58708, 7.815
0.214964, 5.991 
1.16617, 7.815
1.15858, 5.991 
0.857135, 7.815
0.0612682, 5.991 
1.08593, 7.815
3.99739, 5.991 
11.1266, 7.815
1.96421, 5.991 
6.94061, 7.815
4.40777, 5.991 
11.0334, 7.815
0.142816, 5.991 
10.6287, 7.815
1.00538, 5.991 
6.76949, 7.815
0.127239, 5.991 
10.4504, 7.815
4.51783, 5.991 
0.385333, 7.815
2.33394, 5.991 
3.29856, 7.815
4.50037, 5.991 
0.407368, 7.815
1.33448, 5.991 
8.58816, 7.815
4.89767, 5.991 
8.38052, 7.815
1.06643, 5.991 
8.26027, 7.815
2.28801, 5.991 
4.02593, 7.815
1.77396, 5.991 
5.58249, 7.815
2.86399, 5.991 
4.06514, 7.815
0.199753, 5.991 
3.82576, 7.815
1.84089, 5.991 
6.41012, 7.815
0.13212, 5.991 
3.95215, 7.815
0.442859, 5.991 
0.419633, 7.815
0.815737, 5.991 
0.401661, 7.815
0.520778, 5.991 
0.400135, 7.815
0.0782608, 5.991 
7.65343, 7.815
0.391318, 5.991 
7.44855, 7.815
0.0600652, 5.991 
7.5323, 7.815
0.3953, 5.991 
2.7229, 7.815
0.0267561, 5.991 
2.25356, 7.815
0.400254, 5.991 
2.71917, 7.815
2.69411, 5.991 
5.6952, 7.815
4.32032, 5.991 
6.97861, 7.815
2.14031, 5.991 
5.61714, 7.815
5.84926, 5.991 
4.42644, 7.815
5.76661, 5.991 
4.34331, 7.815
4.49436, 5.991 
4.07736, 7.815
3.99276, 5.991 
1.64717, 7.815
7.41693, 5.991 
2.6342, 7.815
3.45543, 5.991 
1.53023, 7.815
1.35526, 5.991 
2.20664, 7.815
3.19398, 5.991 
3.4148, 7.815
0.159469, 5.991 
2.44696, 7.815
0.301175, 5.991 
4.07585, 7.815
0.759889, 5.991 
4.56049, 7.815
1.10844, 5.991 
3.6611, 7.815
4.47531, 5.991 
3.23414, 7.815
2.91416, 5.991 
2.34483, 7.815
7.66291, 5.991 
3.19075, 7.815
2.22314, 5.991 
0.476231, 7.815
3.99457, 5.991 
0.37812, 7.815
2.30208, 5.991 
0.417491, 7.815
6.29658, 5.991 
5.75434, 7.815
8.95692, 5.991 
5.083, 7.815
3.65974, 5.991 
5.39574, 7.815
0.179319, 5.991 
3.24024, 7.815
0.0233196, 5.991 
3.00414, 7.815
1.48378, 5.991 
3.17187, 7.815
0.471105, 5.991 
7.77435, 7.815
1.57954, 5.991 
7.54669, 7.815
1.2176, 5.991 
7.73876, 7.815
0.579942, 5.991 
3.50091, 7.815
1.19015, 5.991 
2.25525, 7.815
0.112842, 5.991 
3.19245, 7.815
5.81959, 5.991 
3.22564, 7.815
5.50766, 5.991 
0.80575, 7.815
7.86286, 5.991 
3.07126, 7.815
0.0696898, 5.991 
4.9749, 7.815
0.515422, 5.991 
3.98704, 7.815
0.115558, 5.991 
5.30614, 7.815
0.698605, 5.991 
1.14085, 7.815
1.74067, 5.991 
1.3403, 7.815
0.755167, 5.991 
1.14033, 7.815
2.06213, 5.991 
2.47395, 7.815
3.55192, 5.991 
1.04428, 7.815
1.85618, 5.991 
1.29431, 7.815
6.05379, 5.991 
1.51456, 7.815
2.24908, 5.991 
1.9929, 7.815
5.81868, 5.991 
0.774575, 7.815
0.591896, 5.991 
4.38622, 7.815
1.90416, 5.991 
2.28326, 7.815
1.10064, 5.991 
2.29381, 7.815
0.0353148, 5.991 
3.35088, 7.815
1.49314, 5.991 
3.68127, 7.815
0.0172966, 5.991 
3.71568, 7.815
0.33978, 5.991 
4.67836, 7.815
1.70588, 5.991 
1.27411, 7.815
0.132857, 5.991 
2.58532, 7.815
4.70996, 5.991 
2.22033, 7.815
0.686289, 5.991 
4.9405, 7.815
5.02163, 5.991 
1.28307, 7.815
3.35277, 5.991 
2.17781, 7.815
1.48715, 5.991 
7.66471, 7.815
2.79266, 5.991 
4.53739, 7.815
2.2176, 5.991 
3.28983, 7.815
0.159252, 5.991 
3.44491, 7.815
1.92288, 5.991 
1.23943, 7.815
7.8944, 5.991 
2.25065, 7.815
14.3537, 5.991 
7.68771, 7.815
7.25268, 5.991 
3.76462, 7.815
0.73858, 5.991 
2.5146, 7.815
0.0257258, 5.991 
1.34684, 7.815
0.785635, 5.991 
1.96952, 7.815
2.88597, 5.991 
2.05258, 7.815
4.22881, 5.991 
2.48153, 7.815
1.69607, 5.991 
0.919119, 7.815
5.2583, 5.991 
4.55521, 7.815
8.99089, 5.991 
1.59309, 7.815
6.81898, 5.991 
2.11531, 7.815
0.348543, 5.991 
3.1128, 7.815
0.179939, 5.991 
0.872003, 7.815
0.123355, 5.991 
1.16472, 7.815
2.5665, 5.991 
6.58761, 7.815
1.58475, 5.991 
10.2533, 7.815
1.99953, 5.991 
7.06532, 7.815
4.70046, 5.991 
0.0824029, 7.815
3.68592, 5.991 
1.64727, 7.815
4.81324, 5.991 
0.705894, 7.815
0.0177726, 5.991 
4.23876, 7.815
0.053982, 5.991 
6.4205, 7.815
0.00604652, 5.991 
5.13253, 7.815
3.03111, 5.991 
5.87808, 7.815
3.34042, 5.991 
5.99749, 7.815
2.89863, 5.991 
6.88456, 7.815
0.0621687, 5.991 
1.71529, 7.815
0.0715727, 5.991 
4.01865, 7.815
0.0432447, 5.991 
4.01049, 7.815
0.0502244, 5.991 
6.38967, 7.815
0.489371, 5.991 
4.76555, 7.815
0.059409, 5.991 
7.49357, 7.815
1.52769, 5.991 
1.5767, 7.815
3.14985, 5.991 
1.06902, 7.815
1.09731, 5.991 
0.633189, 7.815
0.505574, 5.991 
12.3206, 7.815
1.05802, 5.991 
10.7997, 7.815
0.166982, 5.991 
11.3616, 7.815
1.3693, 5.991 
11.4306, 7.815
2.94258, 5.991 
10.1486, 7.815
1.86961, 5.991 
7.59662, 7.815
4.33265, 5.991 
6.88502, 7.815
5.04906, 5.991 
4.03526, 7.815
4.02732, 5.991 
4.69096, 7.815
3.41603, 5.991 
4.33673, 7.815
3.24493, 5.991 
2.06246, 7.815
2.2656, 5.991 
2.16287, 7.815
5.58967, 5.991 
1.82416, 7.815
5.6664, 5.991 
4.81906, 7.815
3.62906, 5.991 
4.02537, 7.815
0.350345, 5.991 
4.16114, 7.815
0.451999, 5.991 
4.17544, 7.815
0.850607, 5.991 
4.45034, 7.815
1.24948, 5.991 
2.28705, 7.815
0.489174, 5.991 
0.457014, 7.815
2.11876, 5.991 
0.852339, 7.815
0.714739, 5.991 
3.0019, 7.815
0.559869, 5.991 
1.16765, 7.815
0.510578, 5.991 
1.59217, 7.815
0.363654, 5.991 
2.16431, 7.815
0.0460394, 5.991 
0.541761, 7.815
0.581718, 5.991 
1.07021, 7.815
1.41386, 5.991 
2.07587, 7.815
1.61253, 5.991 
0.647821, 7.815
0.892654, 5.991 
1.45452, 7.815
2.77708, 5.991 
12.2751, 7.815
3.62306, 5.991 
10.6103, 7.815
3.31434, 5.991 
11.6898, 7.815
1.92985, 5.991 
1.14547, 7.815
1.08383, 5.991 
1.25351, 7.815
2.11601, 5.991 
1.44551, 7.815
6.44194, 5.991 
4.52221, 7.815
7.89092, 5.991 
7.30984, 7.815
6.16454, 5.991 
6.2405, 7.815
0.00982566, 5.991 
17.3128, 7.815
0.0128384, 5.991 
14.7517, 7.815
0.00886795, 5.991 
15.6102, 7.815
1.3876, 5.991 
1.52783, 7.815
0.960352, 5.991 
1.63716, 7.815
1.62354, 5.991 
1.0519, 7.815
1.70424, 5.991 
0.318039, 7.815
2.1139, 5.991 
1.09418, 7.815
1.83357, 5.991 
1.03484, 7.815
0.49338, 5.991 
5.40414, 7.815
0.346051, 5.991 
3.48987, 7.815
0.45007, 5.991 
3.526, 7.815
1.02638, 5.991 
1.58381, 7.815
1.34369, 5.991 
1.62366, 7.815
0.933326, 5.991 
1.70814, 7.815
1.3984, 5.991 
0.912365, 7.815
2.16317, 5.991 
0.432942, 7.815
1.18731, 5.991 
0.568688, 7.815
1.73801, 5.991 
9.95754, 7.815
1.18174, 5.991 
13.0895, 7.815
1.96347, 5.991 
13.7554, 7.815
0.862052, 5.991 
4.42516, 7.815
0.660151, 5.991 
2.97185, 7.815
0.78935, 5.991 
2.68059, 7.815
0.724394, 5.991 
3.74933, 7.815
0.882501, 5.991 
2.02738, 7.815
0.669354, 5.991 
1.78283, 7.815
0.660771, 5.991 
3.46261, 7.815
0.765355, 5.991 
4.52123, 7.815
0.568594, 5.991 
4.85668, 7.815
5.58327, 5.991 
2.57405, 7.815
5.39423, 5.991 
1.07406, 7.815
5.28181, 5.991 
0.838739, 7.815
0.0885954, 5.991 
5.69428, 7.815
0.0910855, 5.991 
3.76961, 7.815
0.0969677, 5.991 
3.40479, 7.815
1.63652, 5.991 
7.61966, 7.815
1.43046, 5.991 
5.23591, 7.815
1.96948, 5.991 
5.2462, 7.815
0.390775, 5.991 
1.28318, 7.815
0.141294, 5.991 
2.03723, 7.815
0.542982, 5.991 
1.57044, 7.815
0.737142, 5.991 
0.335753, 7.815
0.918719, 5.991 
0.233904, 7.815
0.617434, 5.991 
0.182113, 7.815
2.41763, 5.991 
4.22337, 7.815
2.37112, 5.991 
4.52744, 7.815
2.54312, 5.991 
3.97977, 7.815
0.0886033, 5.991 
1.34197, 7.815
0.0307681, 5.991 
0.194258, 7.815
0.139456, 5.991 
0.303679, 7.815
0.569854, 5.991 
3.46133, 7.815
0.425726, 5.991 
2.96211, 7.815
0.713611, 5.991 
2.6608, 7.815
3.09619, 5.991 
3.63428, 7.815
3.02288, 5.991 
2.55212, 7.815
3.30944, 5.991 
2.70462, 7.815
0.147777, 5.991 
1.21639, 7.815
0.187889, 5.991 
0.843932, 7.815
0.145429, 5.991 
1.10116, 7.815
0.272326, 5.991 
4.36749, 7.815
0.26895, 5.991 
4.03285, 7.815
0.31559, 5.991 
5.11349, 7.815
3.13966, 5.991 
3.18143, 7.815
3.3774, 5.991 
2.14952, 7.815
2.63759, 5.991 
2.18576, 7.815
0.0675856, 5.991 
0.994835, 7.815
0.00111656, 5.991 
1.04203, 7.815
0.120091, 5.991 
1.02296, 7.815
2.57533, 5.991 
0.742302, 7.815
2.89316, 5.991 
0.589028, 7.815
2.89396, 5.991 
0.643179, 7.815
0.757945, 5.991 
1.95889, 7.815
0.763878, 5.991 
1.40679, 7.815
0.643067, 5.991 
1.04969, 7.815
0.113342, 5.991 
1.87378, 7.815
0.209885, 5.991 
2.50931, 7.815
0.140802, 5.991 
2.96161, 7.815
3.15339, 5.991 
6.11077, 7.815
3.53948, 5.991 
3.78939, 7.815
3.11702, 5.991 
3.87946, 7.815
0.557118, 5.991 
2.9053, 7.815
0.440741, 5.991 
1.73652, 7.815
0.385751, 5.991 
1.76226, 7.815
6.91402, 5.991 
1.00313, 7.815
6.6857, 5.991 
2.06162, 7.815
6.79688, 5.991 
2.2426, 7.815
0.323512, 5.991 
1.40448, 7.815
0.275512, 5.991 
1.16214, 7.815
0.21209, 5.991 
1.19227, 7.815
1.17063, 5.991 
2.98246, 7.815
1.41634, 5.991 
1.74404, 7.815
0.776122, 5.991 
2.0015, 7.815
1.2137, 5.991 
3.4023, 7.815
1.40131, 5.991 
4.7915, 7.815
0.75337, 5.991 
4.58523, 7.815
0.46382, 5.991 
4.01983, 7.815
0.892221, 5.991 
3.26877, 7.815
0.254545, 5.991 
3.36035, 7.815
1.49747, 5.991 
4.93202, 7.815
1.52217, 5.991 
2.94213, 7.815
1.33957, 5.991 
3.21893, 7.815
2.4609, 5.991 
2.99878, 7.815
2.97029, 5.991 
4.71665, 7.815
1.70468, 5.991 
4.55762, 7.815
0.186155, 5.991 
3.42983, 7.815
0.0529645, 5.991 
3.31254, 7.815
0.587792, 5.991 
3.33502, 7.815
9.20512, 5.991 
0.901708, 7.815
8.56783, 5.991 
1.2276, 7.815
10.0835, 5.991 
1.24985, 7.815
1.07227, 5.991 
6.60386, 7.815
1.08127, 5.991 
4.30214, 7.815
1.1926, 5.991 
3.933, 7.815
0.362303, 5.991 
0.478757, 7.815
0.369891, 5.991 
0.847781, 7.815
0.377142, 5.991 
0.882142, 7.815
2.7704, 5.991 
8.24073, 7.815
2.84784, 5.991 
7.93161, 7.815
2.5359, 5.991 
8.58738, 7.815
